Species	nodesP
DAPK3_HUMAN_T265	
CDK4_HUMAN	
YES_HUMAN	
CDK4_HUMAN_Y17	
YES_HUMAN_Y345	
JNK_HUMAN_S377	
MARK1_HUMAN_T215	P
JNK_HUMAN_S284	
CDK16_HUMAN_S153	
KPCI_HUMAN	
CDK4_HUMAN_T172	
CDK7_HUMAN_T170	P
KPCI_HUMAN_Y334	
MARK4_HUMAN	
MARK4_HUMAN_S23	
JNK_HUMAN_T228	
LYN_HUMAN_Y32	
YES_HUMAN_Y537	
KPCD1_HUMAN_S738	
STK4_HUMAN_T120	
EGFR_HUMAN_Y1110	
JNK_HUMAN_Y223	
CDK16_HUMAN_S227	
STK4_HUMAN_T387	
STK38_HUMAN	
EF2K_HUMAN	
STK38_HUMAN_S10	
EF2K_HUMAN_S366	
LATS2_HUMAN	
LATS2_HUMAN_S380	
EF2K_HUMAN_S500	
STK38_HUMAN_S11	
LATS1_HUMAN	
STK3_HUMAN	
STK3_HUMAN_T180	
LATS1_HUMAN_T1060	
MKNK1_HUMAN	
MKNK1_HUMAN_S39	
KS6A5_HUMAN_S360	
CTNB1_HUMAN_S552	P
RIR2_HUMAN_S20	P
CTND1_HUMAN_S268	P
ARHG2_HUMAN_S886	P
2A5D_HUMAN_S573	P
KAT7_HUMAN_T88	P
CHSP1_HUMAN_S41	P
CHSP1_HUMAN_S30	P
CHSP1_HUMAN_S32	P
ODPAT_HUMAN_S291	P
ODPAT_HUMAN_S298	P
HSPB1_HUMAN_S82	P
VIME_HUMAN_S39	P
PTN12_HUMAN_S435	P
ODPA_HUMAN_S232	P
RPGP1_HUMAN_S499	P
ACLY_HUMAN_S455	P
KPCD_HUMAN_S304	P
HNRPU_HUMAN_S59	P
PTN1_HUMAN_S378	P
MARCS_HUMAN_S27	P
RS6_HUMAN_S235	P
CTND1_HUMAN_S879	P
MARCS_HUMAN_S170	P
MYH10_HUMAN_S1956	P
RS6_HUMAN_S236	P
PEA15_HUMAN_S116	P
FLNA_HUMAN_S2152	P
EPS15_HUMAN_S796	P
STAT3_HUMAN_S727	P
TEBP_HUMAN_S151	P
F262_HUMAN_S466	P
TPR_HUMAN_S2155	P
SRC8_HUMAN_S405	P
TPPP_HUMAN_S160	P
NU153_HUMAN_S516	P
MYPT1_HUMAN_S910	P
MYPT1_HUMAN_S445	P
EFHD2_HUMAN_S74	P
KAT7_HUMAN_S57	P
MYL9_HUMAN_T19	P
MARCS_HUMAN_S118	P
TBCD4_HUMAN_S318	P
AKTS1_HUMAN_T246	P
MYH10_HUMAN_S1952	P
PTN1_HUMAN_S352	P
STMN1_HUMAN_S16	P
VIME_HUMAN_S26	P
CD44_HUMAN_S697	P
NUP98_HUMAN_S623	P
CTND1_HUMAN_S252	P
STMN1_HUMAN_S25	P
PDCD4_HUMAN_S457	P
LASP1_HUMAN_S146	P
STMN1_HUMAN_S63	P
KPCD2_HUMAN_S710	P
TPPP_HUMAN_S32	P
NEB2_HUMAN_S100	P
RS6_HUMAN_S240	P
TAOK3_HUMAN_S324	P
CTND1_HUMAN_Y280	P
GFPT1_HUMAN_S261	P
EXOC7_HUMAN_S250	P
ANXA2_HUMAN_S12	P
GSK3A_HUMAN_S21	P
TIF1B_HUMAN_S473	P
MCM3_HUMAN_S160	P
VIME_HUMAN_S73	P
NUP50_HUMAN_S221	P
MYL9_HUMAN_S20	P
TBCD4_HUMAN_S588	P
ACACA_HUMAN_S29	P
NIBAN_HUMAN_S602	P
HNRPC_HUMAN_S260	P
KCC4_HUMAN_T200	P
CALX_HUMAN_S564	P
CCDC6_HUMAN_S244	P
KAP0_HUMAN_S83	P
NUCKS_HUMAN_S181	P
RABE1_HUMAN_S407	P
4ET_HUMAN_S374	P
CTNA1_HUMAN_S641	P
CBX3_HUMAN_S93	P
MAP4_HUMAN_S928	P
MDM2_HUMAN_S166	P
NCBP1_HUMAN_S22	P
ADDA_HUMAN_S12	P
LMNB1_HUMAN_S23	P
SUN2_HUMAN_S12	P
CALX_HUMAN_S554	P
MARCS_HUMAN_S101	P
DPYL2_HUMAN_T509	P
VIME_HUMAN_S66	P
ERF_HUMAN_T526	P
IF4B_HUMAN_S422	P
MAP4_HUMAN_S1073	P
FOXK2_HUMAN_S428	P
NBN_HUMAN_S432	P
TOIP1_HUMAN_S143	P
ARFP1_HUMAN_S132	P
ATF2_HUMAN_T71	P
ATF2_HUMAN_T69	P
STIM1_HUMAN_S575	P
YAP1_HUMAN_S109	P
APC1_HUMAN_S688	P
MORC2_HUMAN_S739	P
EF2_HUMAN_T57	P
YAP1_HUMAN_T154	P
STMN1_HUMAN_S38	P
UNG_HUMAN_S64	P
BRE1A_HUMAN_S522	P
HD_HUMAN_S432	P
GORS2_HUMAN_T225	P
GORS2_HUMAN_T222	P
ARHG2_HUMAN_S172	P
TBCD4_HUMAN_S341	P
P3C2A_HUMAN_S259	P
EZH2_HUMAN_T487	P
KPCD1_HUMAN_S208	P
HMGA1_HUMAN_T53	P
IF4B_HUMAN_S498	P
MDC1_HUMAN_S402	P
ROA1_HUMAN_S364	P
KPCD1_HUMAN_S205	P
